customerName,,Date,comment
حُسَينْ,,قبل شهر,مقهى من فترة طويلة بجربة ومزدحم؛ التجربة الأولى وكانت تستحق الانتظار؛ المقهى واسع ويقدم قهوة مختصة مع منيو ساندويتشات للافطار وقائمة حلى؛ تجربتي للايس دريب نوعين (كوستاريكي ويمني) وكانت لذيذة جدًا ومقطرة بشكل جميل؛ وجربت حلى (تربل تشوكلت) …
Latifa Abdullah,,قبل 3 أشهر,"تجربتي كانت في اليوم الوطني تجربة ممتازه .
الأجواء  والضيافه جميله .
الخدمه سريعه . …"
ريما المجول,,قبل أسبوع,جيت الكوفي بالنهار عشان ادرس فيه وانا يهمني ان المكان يكون شرح وتدخله الشمس وصدق مرره حبيته رايق اخذت الحلا اللي يالصور اعطية 10/7 و القهوة اخذت ايس الدرب حلوه و حبيت ان عندهم سادس كوب فري 👍🏻 …
ريم العتيبي,,قبل أسبوعين,"من يوم فتح بجربه وانتظرت تخف الزحمة لكن لاحظت الزحمة تزيد ماشاءالله
وكالعادة كان زحمة ومافيه مكان لكن الخدمة سريعة ورائعة والقهوة والحلويات اروع بعد …"
ضياء الشمري,,قبل أسبوعين,"تجربتي لقرون كافيه على توصيات أهل الرياض
المكان هادي ورايييق الموظف الفلبيني اللي كان الجمعه جدآ خدوم ولطيف جربنا عندهم افطار الحلومي والزعتر لذذذيذه والتونه بعد اعجبتنا الكركديه مضبوط صح يمدحون الحلويات عندهم بس ماجربت لي عوده بأذن الله الأسعار متوسطه 🙏🏻 …"
Shumukh Life,,قبل شهر,المكان رايق السويت عندهم لذيذه خصوصاً كيكتهم الجديده تشوكلت مكس الكنافة بالبستاشيو والقهوة عجبتني انصح فيه يرضي جميع الأذواق عن تجربة 👍🏻🤍🤍 …
Fatma A.,,قبل شهرين,"الكوفي حلو مشكلته بس الطريق له يضيع، اجواء المكان رايقه والجلسات حلوه، الحمام مو مشترك وهذي نقطه لهم ؛ جربت قهوة اليوم باردة ١٤﷼ لذيذة كانها مو قهوة اليوم وجربنا الحلا الهبة ٢٦﷼ لذيذ مره يا ليت يفتحون فرع بمكان ثاني ويكون له جلسات اوت دور بيكون حلو مره."
Asma,,قبل 6 أيام,طلبنا بوكس من ذا شيفز ٨ مخبوزات لذيذة جي بنز تشيز كيك لذيذة ميني بايتز ايز كيك كراميل بينا كينز حشوات لذيذة انصح بتجربته
غاليـة,,قبل 3 أشهر,"المكان جميل ورايق لكن الحلا مش ولابد مع اني مجربه صنف واحد ، القهوه 100000/10 لذيذه جداً اخذت اثيوبي وجربت اليمني بعد كلهن👍🏻👍🏻👍🏻 …"
Z Y,,قبل أسبوع,الهوت شوكليت عنده جدا و القهوه كذالك جميل و الحلى جدا جميل انصح بالتجربه
Abrar Mohammad,,قبل شهر,ماشالله تبارك الله الكافيه شرررح ومريح وكمالن ريحتهم حلللوة تاخد العقل ريحة بخور فكل المكان😍😍😍🤣 …
be positive,,قبل شهر,"الطلب كان قهوة 2 في 60 بن يمني روعة …واللي أروع التراميسو جمييييل جدا ويارب لك الحمد
اجواء ممتازة وكذلك كركديه"
seham alzahrani,,قبل شهرين,"المكان حلو وموقعة لكن الكراسي غير مريحه جداً..
قهوة اليوم نوع الأثيوبي جيدة جداً …"
Am Hk,,قبل شهرين,"حلو و واسع شوي مطل ع ابراج المالية 👍🏻

طلبي v60 كوستاريكا ممتاااااااز 👍🏻 …"
Abdulmalik S,,قبل شهر,"ماشاء الله تبارك الله القهوه لذيذه والحلى الذ
وكل شي عندهم يفتح النفس"
shiekha Alghamdi,,قبل 5 أشهر,"الكوفي جميل لكن موقعه غير جيد
القهوة لذيذة نفس قهوة نمق
جربت دانش البيكان لذيذ …"
Sara sam,,قبل 3 أشهر,"اول زيارة للمكان وأقدر اقول بتكون الأخيرة بسبب التعامل !

افهم انوا اليوم يوم وطني ولكن! تمنيت يكون فيه إدارة افضل اغلب الناس كانوا جاين …"
خوله -,,قبل 4 أشهر,"طلبت قهوه اليوم ب 12 ومع الثلج زيادة ريالين الزيادة غريبة قال لي المحصول برازيلي وبالفاتورة اثيوبي لكن لذيذة مره وكميتها كويسة
برضو طلبت بودينق او تربل شوكلت كميه الشوكلت راهية مره ولذذيذ والطبقة اللي تحت …"
Ahmad,,قبل 5 أشهر,المكان جميل ورايق لكن عيبه الوحيد موقعه وصعوبة الوصول له مع التحويلات اللي صايره …
Nasser 7379,,قبل 3 أشهر,"افضل قهوه ب شمال الرياض ❤️👍🫡🫡🫡
خلها تبرق وترعد
حتى توزيعات اليوم الوطني فخمه 94💚💚. …"
Reem T,,قبل أسبوعين,"المكان جميل وهادي الحمدلله يوم رحت ماكان فيه زحمة الموظفين خدمتهم 👍🏼 عجبني الحلى عندهم وقهوتهم لذيذة وطلبنا هوت شوكلت حالي شوي
الكركدية عندهم ممتاززز 🤩 …"
mai abdullah,,قبل 7 أشهر,"المكان جميل جداً وأجواءه رايقه
طلبت منهم الآيس ماتشا لاتيه كان عادي الصراحه لكن القهوه عليها مدح كثير
المكان شرح والشمس داخله على المكان معطيته حياه …"
Soula Saliha,,قبل سنة,"المكان جداً جميل وهادئ مناسب للعوائل والجمعات
وصوت الميوزك واختيارها جداً معقول ومناسب للمكان . …"
نواف القحطاني,,قبل شهرين,قهوة اليوم الاثيوبي و V60 عندهم مجنونه مستحيل اجي الرياض بدون ما امره قهوتهم رهيييييييببببه الافضل في الرياض بلا منازع من واقع تجربه وحلاهم لذيذ. واقف عنده من ٥:٢٠ انتظره يفتح وهو يفتح ٦ من كثر فخامته
BanderAziz,,قبل 3 أشهر,"الكوفي رايق والخدمة ممتازة العمال مبتسمين وفيهم بشاشة ..

الفلات وايت 9/10 …"
Nor,,قبل 5 أشهر,المكان جميل ورايق والخدمة ممتازه الطلب كابتشينو نوع القهوة جيد جدا الطعم خفيف و الحراره ليست المطلوبه كان باردا نوعا ما
ضي للجرافيك,,قبل شهرين,"اخذت من عندهم كركديه
المكان مرة حلو
اكيد ابرجع له مرة ثانيه وثالثه"
Hussain Alwesaibi,,قبل 3 أسابيع,"جربت المحصول اليمني V60 وكانت لذيذة وممتازة ومميزة وتستحق التجربة، الكافي واسع وشرح ويفتح النفس. أجواءه جميلة."
yara Abdallah,,قبل 4 أشهر,"رحت له مرتين و جربت من عندهم بودينق التشوكلت و الكركديه
الحلا كان حلو و الكركديه بعد بس كان حالي شوي وطعمه كأنه باشن فروت بس المكان حلو والجلسات حلوه"
Falah,,قبل سنة,"القهوة جيدة
الحلى لاباس به
الماتشا عادية …"
رحاب محمد,,قبل 10 أشهر,ماشاءالله المكان مزحوم عصر الجمعه الله يبارك لهم .. كل الحلويات اللي طلبناها اعجبتنا خصوصا السينابون تجنن خفيفه .. قهوة اليوم مره اعجبتني لدرجه اخذت كوب ثاني وانا طالعه بن اثيوبي .. الله يبارك لهم
Reem Mohammed,,قبل شهرين,"الشي الغريب ان المكان مهما كان زحمه تلقين لك مكان♥️القهوه والحلا أخيل من الأخيله تبارك الله الكوب يبرد قلبك حجمه، كل التوفيق تستاهلون  ♥️😍 …"
شُـروق.,,قبل 5 أشهر,"زيارتي للمكان كانت بالليل وكان زحمه بس مع ذلك خدمتهم سريعه ماشاءالله 👏🏻

طلبت v60 لذييذه ومضبوطه ✔️
وتشيز كيك كان خرافي 🤩 …"
Amal Alsubaie,,قبل 3 أسابيع,"الكوفي جداً جميل ورايق وخدمتهم ممتازه
وحبيت القهوه والحلى مميز عندهم 😋💚 …"
soso Hassn,,قبل 9 أشهر,المكان شرح وحبيت انو ما فيه موسيقى واغاني مزعجه لانو الناس جايه تسولف وتشوف بعض مو تسمع موسيقى ياليت باقي القهاوي يتعلمون طلبنا كان قهوة اليوم باردة وحترة كانت موزونة وفلات وايت كان لذيذ والحلى كان تشيز كيك لذيذ حبيته يعني مغاير للتشيز …
Omar Alsuhaim,,قبل سنة,"وقت الزيارة 3:30 عصراً

المكان شرح للامانه ومافيه تفاصيل مزعجة …"
فيصل,,قبل 4 أشهر,"رايق ، بس قلة حيا ، بعض الشباب باقي شوي و يقول ميدك عادي أجلس معك أنت و أهلك من البجاحه إللي فيهم جالسين جنب العوائل كنه جالس ف بيتهم"
Ns N,,قبل 5 أشهر,بنقل تجربتي والله على م اقول شهيد .. جيتهم صباح الجمعة بقوقل ماب لم يتم تعديل الوقت ومكتوب مفتوح من ٦ .. جيتهم ٨ وانتظرت لين ٨ وربع مافتح العامل وجاي بعدي .. دخلت اشوف الكوفي لسى ماطلبت ولا حاكيت العامل .. الا العامل الفلبيني الي يلبس اابيض …
Bayan Fahad,,قبل شهرين,"القهوة من الذ القهاوي الي جربتها

والكاشير الي يشتغل ماشاءالله اسلوب وتعامل ورقي والطاقم كامل جداّ محترمين ويرحبون …"
D.r Ali,,قبل 9 أشهر,"اللهم صلِ وسلم عليك يارسول الله .

الاستقبال جيد المكان جميل ورايق الجلسات شبه مريحه الستاف محترم قهوتهم كويسه …"
Yara Q14,,قبل شهر,القهوه لذيذه الحلى لذيذ بس الخيارات محدوده
Yara,,قبل 5 أشهر,"طلبت v60 بارد وكان جدا لذيذ وفلات وايت
الحلا طلبت الكروفل سينابون والترميسو
السينابون كان جدا لذيذ لكن الترميسو عادي …"
A. 1,,قبل 5 أشهر,"المكان حلوووو وخدمتهم حلوو وقهوتهم حلوه بس مو واو
التراميسو عادي جداً الكيك حلوو"
Pink Panther,,قبل سنة,"زيارتي الاولى للمكان وصراحه اي مكان مافيه تنظيم يفقد جماليته .

المكان زحمه بشكل مخيف الناس فوق بعض ماتاخذين راحتك بالمشي حتى لو بتاخذ القهوة …"
